Sample,latitude,longitude,elev_m,max_depth_cm,slope_perc,Horizon,landform,Mapped.Lithologic.unit,Parent.Material,bulk.density.vol.cm3,bulk.density.g.cm3,pH,soilmoisture_perc,TC_perc,OC_perc,Nitrogen_ppm,TN_perc,TC_perc_2
HLEF-19-313,58.38681,-134.6257,90,92,55,2Bs/C,backslope,Gravina Sedimentary,Slate/Phyllite - Colluvium,138.5,0.23,,,,,,,
HLEF-19-314,58.65095,-134.83272,840,9,0,O,backslope,Tonalite,Tonalite - Till,125,0.12,4.12,,,,,1.31,38.05
HLEF-19-315,58.65095,-134.83272,840,13,0,E,ridgetop,Tonalite,Tonalite - Till,138,0.62,3.99,,,,,0.129,3.244
HLEF-19-316,58.65095,-134.83272,840,18,0,Bh,ridgetop,Tonalite,Tonalite - Till,138,0.54,4.59,,,,,0.235,6.526
HLEF-19-317,58.65095,-134.83272,840,35,0,Bhs,ridgetop,Tonalite,Tonalite - Till,138,0.58,4.85,,,,,0.211,6.737
HLEF-19-318,58.65095,-134.83272,840,45,0,Bs/C,ridgetop,Tonalite,Tonalite - Till,,,5.05,,,,,0.091,3.06
HLEF-19-319,58.65095,-134.83272,840,,0,Cr,ridgetop,Tonalite,Tonalite - Till,,,,,,,,0,0.036
HLEF-19-320,58.65095,-134.83272,840,9,0,O,ridgetop,Tonalite,Tonalite - Till,125,0.11,,,,,,,
HLEF-19-321,58.65095,-134.83272,840,9,0,O,ridgetop,Tonalite,Tonalite - Till,125,0.13,,,,,,,
HLEF-19-322,58.65095,-134.83272,840,13,0,E,ridgetop,Tonalite,Tonalite - Till,138.5,0.67,,,,,,,
HLEF-19-323,58.65095,-134.83272,840,13,0,E,ridgetop,Tonalite,Tonalite - Till,138.5,0.58,,,,,,,
HLEF-19-324,58.65095,-134.83272,840,18,0,Bh,ridgetop,Tonalite,Tonalite - Till,138.5,0.5,,,,,,,
HLEF-19-325,58.65095,-134.83272,840,18,0,Bh,ridgetop,Tonalite,Tonalite - Till,138.5,0.58,,,,,,,
HLEF-19-326,58.65095,-134.83272,840,35,0,Bhs,ridgetop,Tonalite,Tonalite - Till,138.5,0.65,,,,,,,
HLEF-19-327,58.65095,-134.83272,840,35,0,Bhs,ridgetop,Tonalite,Tonalite - Till,138.5,0.51,,,,,,,
HLEF-19-328,58.38475,-134.6251,140,30,0,O,ridgetop,Gravina Sedimentary,Slate,,0.11,4.01,,,,,1.57,47.35
HLEF-19-329,58.38475,-134.6251,140,39,0,BC,ridgetop,Gravina Sedimentary,Slate,,,4.12,,,,,0.221,4.424
HLEF-19-330,58.38475,-134.6251,140,,0,R,ridgetop,Gravina Sedimentary,Slate,,,,,,,,0.13,0.63
HLEF-19-331,58.38475,-134.6251,140,30,0,O,ridgetop,Gravina Sedimentary,Slate,125,0.1,,,,,,,
HLEF-19-332,58.38475,-134.6251,140,30,0,O,ridgetop,Gravina Sedimentary,Slate,125,0.11,,,,,,,
