Sample,latitude,longitude,elev_m,max_depth_cm,slope_perc,Horizon,landform,Mapped.Lithologic.unit,Parent.Material,bulk.density.vol.cm3,bulk.density.g.cm3,pH,soilmoisture_perc,TC_perc,OC_perc,Nitrogen_ppm,TN_perc,TC_perc_2
HLEF-19-32,58.64407,-134.829072,620,,75,,backslope,Tonalite,colluvium,138.5,0.14,,,,,,,
HLEF-19-33,58.64407,-134.829072,620,,75,,backslope,Tonalite,colluvium,138.5,0.56,,,,,,,
HLEF-19-34,58.64407,-134.829072,620,,75,,backslope,Tonalite,colluvium,138.5,0.87,,,,,,,
HLEF-19-35,58.64407,-134.829072,620,,75,,backslope,Tonalite,colluvium,138.5,0.6,,,,,,,
HLEF-19-36,58.64407,-134.829072,620,,75,,backslope,Tonalite,colluvium,138.5,0.62,,,,,,,
HLEF-19-37,58.64407,-134.829072,620,,75,,backslope,Tonalite,colluvium,138.5,0.5,,,,,,,
HLEF-19-38,58.64407,-134.829072,620,,75,,backslope,Tonalite,colluvium,138.5,0.49,,,,,,,
HLEF-19-39,58.64888,-134.839706,760,5,0,Oi,ridgetop,Taku ,colluvium,125,0.35,3.95,,,,,1.093,46.372
HLEF-19-40,58.64888,-134.839706,760,15,0,Oa,ridgetop,Taku ,colluvium,,,3.98,,,,,1.4,36.17
HLEF-19-41,58.64888,-134.839706,760,30,0,Bs,ridgetop,Taku ,colluvium,138.5,0.75,4.49,,,,,0.224,5.922
HLEF-19-42,58.64888,-134.839706,760,41,0,Cr,ridgetop,Taku ,colluvium,,,4.28,,,,,0,0.108
HLEF-19-43,58.64888,-134.839706,760,41,0,R,ridgetop,Taku,rock,,,,,,,,0.002,0.1
HLEF-19-44,58.64888,-134.839706,760,5,0,Oi,ridgetop,Taku,colluvium,125,0.36,,,,,,,
HLEF-19-45,58.64888,-134.839706,760,5,0,Oi,ridgetop,Taku,colluvium,125,0.35,,,,,,,
HLEF-19-46,58.36696,-134.535614,218,12,34,Oi,backslope,Taku,colluvium,125,0.14,3.38,,,,,1.186,46.61
HLEF-19-47,58.36696,-134.535614,218,20,34,Oa,backslope,Taku,colluvium,125,0.52,3.53,,,,,0.9,22.35
HLEF-19-48,58.36696,-134.535614,218,24,34,E,backslope,Taku,colluvium,138.5,0.58,3.89,,,,,0.22,5.14
HLEF-19-49,58.36696,-134.535614,218,29,34,Bhs,backslope,Taku,colluvium,138.5,0.45,4.2,,,,,0.27,7.52
HLEF-19-50,58.36696,-134.535614,218,37,34,B/C,backslope,Taku,colluvium,138.5,0.35,4.55,,,,,0.2,5.96
HLEF-19-51,58.36696,-134.535614,218,41,34,Cr,backslope,Taku,residuum,,,4.52,,,,,,
HLEF-19-52,58.36696,-134.535614,218,41,34,2R,backslope,Taku,rock,,,,,,,,0.033,0.722
HLEF-19-53,58.36696,-134.535614,218,12,34,Oi,backslope,Taku,colluvium,125,0.15,,,,,,,
HLEF-19-54,58.36696,-134.535614,218,12,34,Oi,backslope,Taku,colluvium,125,0.15,,,,,,,
HLEF-19-55,58.36696,-134.535614,218,12,34,Oi,backslope,Taku,colluvium,125,0.15,,,,,,,
HLEF-19-56,58.36696,-134.535614,218,12,34,Oi,backslope,Taku,colluvium,125,0.13,,,,,,,
HLEF-19-57,58.36696,-134.535614,218,20,34,Oa,backslope,Taku,colluvium,125,0.55,,,,,,,
