Sample #,IGSN parent #,IGSN daughter #,Samp Date,latitude,longitude,elev (ft),elev (m),slope %,sample type,site,locality,description,classification,min depth (cm),max depth (cm),Horizon,landform,Mapped Lithologic unit,Parent Material,NOTES,bulk density vol (cm3),bulk density (g/cm3),pH,soilmoisture%,om_perc,LOI %,sand_perc,silt_perc,clay_perc,rockfrag_perc,sand % (1000 - 2000 æm),sand % (500 - 1000 æm),sand % (250 - 500 æm), sand % (100 - 250 æm),sand % (50 -100 æm),silt % (2 - 20 æm),silt % (20 - 50 æm),clay % (<2 æm),Texture Class,Total Carbon %,Organic Carbon %,Nitrogen_ppm,Total Carbon pcnt,Organic Carbon pcnt,Total Nitrogen pcnt,Nitrogen ppm,Al2O3 (%),BaO (%),Ba (ppm),CaO (%),Cr2O3 (%),Fe2O3T (%),K2O (%),MgO (%),MnO (%),Na2O (%),Nb (ppm),P2O5 (%),SiO2 (%),SrO (%),Sr (ppm),TiO2 (%),Y (ppm),Zn (ppm),Zr (ppm),LOI (900C),LOI (1000C),bulk XRD,clay XRD,CEC,"Al, Fe, Si sequential extractions",BrayP %,fiber unrubbed %,fiber rubbed %,Thin sections,Plutonium,d13C,Archived in box at JFSL,Hue,Value,Chroma,additional colors listed,*chose dominant color where multiple colors exist in order to graphs
HLEF-17-44,,,5/18/2017,58.64247,-134.87283,1431,488,48,soil,HLEF,Site 8 - Gravina N-facing slope,Gravina Pedon 2 - N-facing slope,Typic Cryaquod,4,10,E,backslope,Gravina,till,,,,3.97,,21,,62.7,29,8.3,13.3,,,,,,,,,,4.511,4.54,1658,,,,,8.49,0.06,,1.91,,2.71,0.68,0.7,0.05,1.55,,0.1,70.8,0.03,,1.22,,,292,11.2,,,,,,,,,,,,,7.5YR,5,2,,
HLEF-17-45,,,5/18/2017,58.64247,-134.87283,1431,488,48,soil,HLEF,Site 8 - Gravina N-facing slope,Gravina Pedon 2 - N-facing slope,Typic Cryaquod,10,21,Bhs,backslope,Gravina,till,,,,3.97,,16,,60.5,29.5,10,16.9,,,,,,,,,,7.327,7.377,2255,,,,,11.4,0.05,,1.87,,16.2,0.62,1.97,0.08,1.05,,0.18,37.4,0.02,,1.09,,,175,28.3,,,,,,,,,,,,,5YR,3,3,5YR 3/3 (80%) 5YR 2.5/1 (20%),
HLEF-17-46,,,5/18/2017,58.64247,-134.87283,1431,488,48,soil,HLEF,Site 8 - Gravina N-facing slope,Gravina Pedon 2 - N-facing slope,Typic Cryaquod,21,48,Bs,backslope,Gravina,till,,,,4.16,,4.39,,66.9,27.5,5.6,29.4,,,,,,,,,,4.824,4.797,1413,,,,,14.7,0.07,,2.88,,7.43,1.11,2.39,0.1,1.99,,0.12,52,0.03,,0.74,,,127,17.2,,,,,,,,,,,,,7.5YR,3,4,7.5YR (50%) 10YR 3/3 (50%),
HLEF-17-47,,,5/18/2017,58.64247,-134.87283,1431,488,48,db,HLEF,Site 8 - Gravina N-facing slope,Gravina Pedon 2 - N-facing slope,Typic Cryaquod,10,21,Bhs,backslope,Gravina,till,,112,0.52,,62.1,,,,,,,,,,,,,,,,,,,,,,,13,0.02,,12.5,,12.5,0.78,7.49,0.19,2.25,,0.41,47,0.11,,1.19,,,77,3.25,,,,,,,,,,,,,,,,,
HLEF-17-48,,,5/18/2017,58.64247,-134.87283,1431,488,48,db,HLEF,Site 8 - Gravina N-facing slope,Gravina Pedon 2 - N-facing slope,Typic Cryaquod,10,21,Bhs,backslope,Gravina,till,,112,0.51,,60.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HLEF-17-49,,,5/18/2017,58.64247,-134.87283,1431,488,,rock,HLEF,Site 8 - Gravina N-facing slope,Gravina outcrop above Pedon 2,welded tuff,,,rock,backslope,Gravina,rock,,,,,,,,,,,,,,,,,,,,,,,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HLEF-17-50,,,8/10/2017,58.63066,-134.86248,656,200,,soil,HLEF,Well2,Gravina Pedon 3-Well2-Sslope,Typic Cryod,0,5,A,backslope,Gravina,colluvium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HLEF-17-51,,,8/10/2017,58.63066,-134.86248,656,200,,soil,HLEF,Well2,Gravina Pedon 3-Well2-Sslope,Typic Cryod,5,10,Bhs,backslope,Gravina,colluvium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HLEF-17-52,,,8/10/2017,58.63066,-134.86248,656,200,,soil,HLEF,Well2,Gravina Pedon 3-Well2-Sslope,Typic Cryod,10,34,Bh1,backslope,Gravina,colluvium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HLEF-17-53,,,8/10/2017,58.63066,-134.86248,656,200,,soil,HLEF,Well2,Gravina Pedon 3-Well2-Sslope,Typic Cryod,34,+,Bh2,backslope,Gravina,colluvium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
